actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,200,0.5095892,1.1276077,1.1276077,1.1276077,50,0.0,1,50,10.804119,10.1861,10.1861,10.1861,11.313708,11.313708,11.313708,11.313708,9.173371,8.894268,8.894268,8.894268,7.034587974262318,0.0,0.0
33,1650,2.999031,1.2065376,1.6774664,1.6774664,50,0.0,9,450,8.314677,10.107171,9.636243,9.636243,11.313708,11.313707,11.313709,11.313709,7.61949,8.977042,8.700404,8.700404,27.548754937759696,0.0,0.0
61,3050,1.6119175,1.6670948,1.8099598,1.8099598,50,0.0,17,850,9.701791,9.646613,9.503748,9.503748,11.313708,11.313707,11.313709,11.313709,7.5843105,7.7310905,8.120595,8.120595,37.621212879550704,0.0,0.0
93,4650,0.17954826,1.843346,1.6570642,1.6570642,50,0.0,25,1250,11.13416,9.470363,9.656645,9.656645,11.313708,11.313707,11.313708,11.313708,5.0079303,8.4360075,8.119283,8.119283,38.25040691689411,0.0,0.0
121,6050,2.2051573,1.3588295,1.5543628,1.6129279,50,0.0,33,1650,9.108551,9.954879,9.759346,9.700781,11.313708,11.313707,11.313707,11.313706,7.795614,8.8905735,8.031339,8.130858,34.13161675299859,0.0,0.0
152,7600,3.3283205,1.1834729,1.350372,1.5145211,50,0.0,41,2050,7.985388,10.130235,9.963336,9.799188,11.313708,11.313707,11.313707,11.313707,7.985388,9.179443,8.311661,8.262731,37.532491797856814,0.0,0.0
180,9000,1.1235647,1.6778591,1.4761984,1.5526687,50,0.0,48,2400,10.190144,9.63585,9.837509,9.76104,11.313708,11.313707,11.313707,11.313707,8.24157,8.172598,8.151202,8.114899,35.204166850620425,0.0,0.0
204,10200,0.78117275,1.582923,1.467822,1.5648985,50,0.0,55,2750,10.532536,9.730785,9.845885,9.748811,11.313708,11.313707,11.313707,11.313706,8.840269,7.68712,8.155595,8.088774,21.785004755061113,0.0,0.0
219,10950,0.5423136,1.8399884,1.5860635,1.5964748,50,0.0,59,2950,10.771395,9.473719,9.727645,9.717232,11.313708,11.313707,11.313707,11.313706,7.845429,7.7880044,8.004199,8.073201,11.709272412753817,0.0,0.0
243,12150,6.2451596,1.2704041,1.6944649,1.5995075,50,0.0,66,3300,5.0685487,10.043304,9.619244,9.7142,11.313708,11.313707,11.313707,11.313706,5.0685487,8.172689,7.8996525,8.074933,25.764854813218957,0.0,0.0
