actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
1,50,4.0770545,50,0.0,1,50,7.236654,11.313708,7.09548,6.854846736311264,0.0,nan
4,200,1.047945,50,0.0,2,100,10.265763,11.313708,8.596432,39.66358188196013,0.0,0.0
8,400,1.873394,50,0.0,3,150,9.440314,11.313708,7.567291,42.33275534571263,0.0,0.0
12,600,3.1143665,50,0.0,4,200,8.199342,11.313708,7.427886,44.32611851399691,0.0,0.0
16,800,0.38220215,50,0.0,5,250,10.931506,11.313708,9.420339,38.797243134893435,0.0,0.0
20,1000,0.3182354,50,0.0,6,300,10.995473,11.313708,9.144048,42.72552378775368,0.0,0.0
24,1200,3.6297188,50,0.0,7,350,7.6839895,11.313708,7.4621267,41.48531591537925,0.0,0.0
28,1400,0.672637,50,0.0,8,400,10.641071,11.313708,8.211651,37.8575309725088,0.0,0.0
32,1600,5.4859614,50,0.0,9,450,5.827747,11.313708,5.0441856,32.158989143102495,0.0,0.0
36,1800,2.3492098,50,0.0,10,500,8.9644985,11.313708,7.5391903,25.64890575046659,0.0,0.0
39,1950,1.2276573,50,0.0,11,550,10.086051,11.313708,8.967778,29.199680427997023,0.0,0.0
43,2150,0.23751068,50,0.0,12,600,11.076198,11.313708,9.517515,31.696753728935164,0.0,0.0
47,2350,2.6271954,50,0.0,13,650,8.686513,11.313708,8.686513,38.97658656384681,0.0,0.0
50,2500,2.3750572,50,0.0,14,700,8.938651,11.313708,7.803065,43.31327270740793,0.0,0.0
53,2650,1.7993956,50,0.0,15,750,9.514313,11.313708,9.238216,35.53787771721356,0.0,0.0
57,2850,2.5651302,50,0.0,16,800,8.748578,11.313708,8.423635,39.15491995294282,0.0,0.0
60,3000,0.11469364,50,0.0,17,850,11.199015,11.313708,8.1085415,39.29054328119517,0.0,0.0
64,3200,3.4930077,50,0.0,18,900,7.8207006,11.313708,7.349795,43.948175507531104,0.0,0.0
68,3400,2.5655794,50,0.0,19,950,8.748129,11.313708,8.461877,37.65512310465444,0.0,0.0
72,3600,2.0846138,50,0.0,20,1000,9.2290945,11.313708,9.138545,47.09493376533871,0.0,0.0
76,3800,1.0506973,50,0.0,21,1050,10.263011,11.313708,9.202447,44.70109772993712,0.0,0.0
80,4000,1.2503986,50,0.0,22,1100,10.06331,11.313708,9.081805,45.128692451638116,0.0,0.0
83,4150,1.6834679,50,0.0,23,1150,9.63024,11.313708,8.6986265,47.39442228194496,0.0,0.0
87,4350,1.6665325,50,0.0,24,1200,9.647176,11.313708,8.510585,40.89466438385548,0.0,0.0
90,4500,3.3108187,50,0.0,25,1250,8.00289,11.313708,6.6282573,46.73336924061885,0.0,0.0
94,4700,1.4436493,50,0.0,26,1300,9.870059,11.313708,8.133828,41.24091344853863,0.0,0.0
97,4850,2.5707397,50,0.0,27,1350,8.742969,11.313708,8.097941,45.305417828474496,0.0,0.0
100,5000,2.1345863,50,0.0,28,1400,9.179122,11.313708,8.441228,34.28303144001836,0.0,0.0
104,5200,3.6869793,50,0.0,29,1450,7.626729,11.313708,7.367972,29.609637160691022,0.0,0.0
