actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,400,0.773613,0.12935598,0.12935598,0.12935598,100,0.0,1,100,6.297455,6.941712,6.941712,6.941712,7.071068,7.071068,7.071068,7.071068,6.297455,6.2722726,6.2722726,6.2722726,7.975185243242253,0.0,0.0
18,1800,2.4875622,2.0717957,1.1559939,1.1559939,100,0.0,5,500,4.5835056,4.9992723,5.9150743,5.9150743,7.071068,7.071068,7.071068,7.071068,3.6074026,4.0325623,4.991252,4.991252,27.97531867307887,0.0,0.0
31,3100,0.0,1.08027,1.1718923,1.1718923,100,0.0,8,800,7.071068,5.9907975,5.899175,5.899175,7.071068,7.071068,7.071068,7.071068,7.071068,4.510434,4.840636,4.840636,29.993045750381413,0.0,0.0
46,4600,2.1682806,1.5026557,1.2300158,1.2300158,100,0.0,13,1300,4.902787,5.568412,5.8410525,5.8410525,7.071068,7.071068,7.071068,7.071068,3.0532231,4.123513,4.698097,4.698097,29.315926033045894,0.0,0.0
63,6300,0.0,1.0687739,1.2427305,1.2427305,100,0.0,17,1700,7.071068,6.002294,5.8283367,5.8283367,7.071068,7.071068,7.071068,7.071068,6.511735,4.0657334,4.5391607,4.5391607,32.19242706936674,0.0,0.0
78,7800,2.2745562,1.4018422,1.2279449,1.2279449,100,0.0,21,2100,4.7965117,5.669225,5.8431234,5.8431234,7.071068,7.071068,7.071068,7.071068,4.3693714,3.9309833,4.505389,4.505389,28.14812140343045,0.0,0.0
94,9400,0.6507926,1.395201,1.2989994,1.2989994,100,0.0,26,2600,6.420275,5.6758666,5.772068,5.772068,7.071068,7.071068,7.071068,7.071068,3.763767,4.045549,4.423358,4.423358,33.52554638923104,0.0,0.0
102,10200,0.45435143,1.4152224,1.3614142,1.3109862,100,0.0,28,2800,6.6167164,5.6558456,5.7096534,5.7600813,7.071068,7.071068,7.071067,7.071068,4.0215397,4.1262083,4.3255043,4.3979497,16.130491060167564,0.0,0.0
110,11000,1.2190394,1.0159649,1.374846,1.2869079,100,0.0,30,3000,5.8520284,6.055103,5.696222,5.78416,7.071068,7.071068,7.071067,7.071068,5.062921,3.9006333,4.2161365,4.360481,20.99901295771489,0.0,0.0
118,11800,0.60730743,1.4730833,1.3317915,1.3024918,100,0.0,32,3200,6.4637604,5.5979843,5.739276,5.768576,7.071068,7.071068,7.071067,7.071068,3.9541478,4.075259,4.2129593,4.3426757,13.029777874232428,0.0,0.0
