actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
138,2.9035082,13800,0.9828408,0.0056762695,5.5938134,-13.281828,50,5000,1,0,-3.0127873,-2.8248072,7.8505177,0.0
138,5.724228,13800,0.9960933,0.009033203,5.37436,-13.815511,69,6900,4,12.388767957687378,-5.7037373,-5.35741,0.7124915,16.2524547107427
142,5.7562304,14200,0.99608827,0.010437012,5.3356223,-13.815511,79,7900,6,24.678779363632202,-5.817837,-5.374857,0.8290695,8.305311179232756
142,6.4163237,14200,0.9960675,0.011230469,5.3235617,-13.817162,97,9700,9,38.43439793586731,-5.85522,-5.3983192,0.9608243,15.347458295760658
146,6.2271986,14600,0.99606204,0.010803223,5.2982216,-13.815096,113,11300,12,55.145745277404785,-5.903717,-5.3807883,0.9162004,8.463951717704585
146,5.9586554,14600,0.99602914,0.010925293,5.3212585,-13.814392,131,13100,15,67.55086088180542,-5.859095,-5.402069,0.7843659,15.447937400150535
149,6.035394,14900,0.99608636,0.010498047,5.306097,-13.814406,150,15000,18,82.61690664291382,-5.88559,-5.384718,0.6065942,9.751696830873748
150,5.9569273,15000,0.9960909,0.014160156,5.269897,-12.185108,168,16800,21,95.88184714317322,-5.924661,-5.3356647,0.54805434,14.411623640445056
150,5.368002,15000,0.996084,0.011962891,5.261674,-18.456152,188,18800,24,108.72779965400696,-5.91874,-5.284644,0.27608606,14.771144956997103
154,5.340554,15400,0.99607944,0.01361084,5.28358,-17.10123,197,19700,26,120.2857837677002,-5.8785834,-5.3119063,0.22084512,15.052270066430397
154,5.310199,15400,0.99608326,0.013916016,5.2818174,-16.668045,217,21700,29,133.27088904380798,-5.8803253,-5.300113,0.13724688,15.700741744512719
158,5.3478327,15800,0.99609256,0.0138549805,5.2564497,-16.873127,227,22700,31,144.91172289848328,-5.8986554,-5.270501,0.1447933,8.666147885648817
158,5.2348566,15800,0.99607754,0.016906738,5.192987,-15.617264,247,24700,34,156.76885318756104,-5.976098,-5.190879,0.1978674,16.575685705254447
162,5.297786,16200,0.996083,0.015686035,5.2111464,-16.60667,263,26300,37,173.9371998310089,-5.9325686,-5.187727,0.17734352,8.291914174949685
