step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.061963,0.731896,0.000000
2,0.061963,0.680120,0.000000
3,0.916153,0.080120,0.000000
4,1.366373,0.987738,0.000000
5,1.666891,0.254145,0.000000
6,1.925893,0.335718,0.000000
7,1.397369,0.906576,0.000000
8,0.642242,0.994886,0.000000
9,0.063273,0.203652,0.000000
10,0.063273,0.844505,0.000000
11,0.725233,0.080656,0.000000
12,1.725233,0.765717,0.000000
13,1.846489,0.063474,0.000000
14,2.041609,0.005265,0.000000
15,2.525342,0.005265,0.000000
16,1.868294,0.001161,0.000000
17,1.762372,0.976777,0.000000
18,2.497960,0.701323,0.000000
19,2.557912,0.007196,0.000000
20,1.603406,0.007196,0.000000
21,1.204604,0.663946,0.000000
22,0.644125,0.600614,0.000000
23,0.647370,0.649377,0.000000
24,0.609908,0.485927,0.000000
25,1.538112,0.031501,0.000000
26,2.069385,0.324764,0.000000
27,1.098537,0.280435,0.000000
28,1.372120,0.956032,0.000000
29,0.965101,0.956032,0.000000
30,1.927153,0.626924,0.000000
31,1.184930,0.961251,0.000000
32,0.447097,0.129855,0.000000
33,1.192591,0.064656,0.000000
34,0.989588,0.064656,0.000000
35,0.244030,0.550231,0.000000
36,0.013075,0.996437,0.000000
37,0.244341,0.239121,0.000000
38,0.050775,0.442085,0.000000
39,0.108778,0.461706,0.000000
40,0.013385,0.645387,0.000000
41,0.511095,0.713916,0.000000
42,0.855869,0.290808,0.000000
43,0.882761,0.307788,0.000000
44,0.572845,0.968946,0.000000
45,0.600160,0.656275,0.000000
46,0.074571,0.333950,0.000000
47,0.616290,0.051923,0.000000
48,0.233515,0.875426,0.000000
49,0.354540,0.022569,0.000000
50,0.662208,0.535480,0.000000
51,0.000000,0.000000,0.000000
1,0.128018,0.000000,0.000000
2,1.018861,0.801033,0.000000
3,1.878760,0.042287,0.000000
4,0.973073,0.042287,0.000000
5,1.713234,0.861241,0.000000
6,1.631891,0.098829,0.000000
7,2.546077,0.673993,0.000000
8,2.132498,0.189705,0.000000
9,2.396309,0.828258,0.000000
10,2.117141,0.013307,0.000000
11,1.144141,0.013307,0.000000
12,1.273838,0.216233,0.000000
13,0.355116,0.988013,0.000000
14,0.763854,0.707480,0.000000
15,0.829044,0.862263,0.000000
16,1.712113,0.998442,0.000000
17,2.322771,0.260842,0.000000
18,2.186373,0.942799,0.000000
19,1.593173,0.050931,0.000000
20,1.153021,0.050931,0.000000
21,1.400050,0.660457,0.000000
22,1.916029,0.070698,0.000000
23,1.570247,0.033171,0.000000
24,1.949818,0.033171,0.000000
25,1.530256,0.364682,0.000000
26,2.379291,0.022540,0.000000
27,3.190179,0.791149,0.000000
28,3.312378,0.085012,0.000000
29,3.474821,0.342739,0.000000
30,2.806209,0.041254,0.000000
31,3.526130,0.041254,0.000000
32,4.411085,0.004001,0.000000
33,4.462267,0.284460,0.000000
34,4.338385,0.023910,0.000000
35,3.799137,0.003516,0.000000
36,4.559766,0.003516,0.000000
37,4.798457,0.003516,0.000000
38,4.471850,0.003516,0.000000
39,5.172780,0.218127,0.000000
40,4.456384,0.008021,0.000000
41,4.853372,0.370255,0.000000
42,4.987804,0.086475,0.000000
43,4.696231,0.001074,0.000000
44,3.872900,0.593471,0.000000
45,4.268840,0.986965,0.000000
46,3.855116,0.732805,0.000000
47,3.283527,0.113736,0.000000
48,3.791113,0.022205,0.000000
49,4.422673,0.454879,0.000000
50,5.281878,0.072595,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.575565,0.000000
2,0.827038,0.907157,0.000000
3,1.758465,0.908107,0.000000
4,1.648589,0.450083,0.000000
5,1.153764,0.054919,0.000000
6,0.834777,0.088067,0.000000
7,1.581789,0.043282,0.000000
8,1.322365,0.571389,0.000000
9,0.911138,0.056032,0.000000
10,0.008351,0.201681,0.000000
11,0.666359,0.003422,0.000000
12,1.265756,0.043083,0.000000
13,1.723007,0.043083,0.000000
14,0.898398,0.436391,0.000000
15,1.680440,0.262166,0.000000
16,2.033502,0.010538,0.000000
17,1.653947,0.010538,0.000000
18,0.702959,0.010538,0.000000
19,0.302069,0.680036,0.000000
20,0.369333,0.063098,0.000000
21,0.332934,0.196192,0.000000
22,1.125476,0.427414,0.000000
23,0.393421,0.956038,0.000000
24,0.054573,0.246448,0.000000
25,0.012265,0.950380,0.000000
26,0.012265,0.950380,0.000000
27,0.012265,0.950380,0.000000
28,0.012265,0.950380,0.000000
29,0.499287,0.986846,0.000000
30,0.774012,0.704883,0.000000
31,1.648849,0.107166,0.000000
32,1.709641,0.002776,0.000000
33,1.921460,0.002776,0.000000
34,1.235459,0.540807,0.000000
35,1.628529,0.017429,0.000000
36,2.051168,0.237017,0.000000
37,1.256147,0.382678,0.000000
38,0.703045,0.515592,0.000000
39,1.405120,0.075155,0.000000
40,1.316329,0.075155,0.000000
41,0.917418,0.863503,0.000000
42,0.529624,0.568747,0.000000
43,1.501473,0.036209,0.000000
44,1.034230,0.584182,0.000000
45,1.247335,0.796789,0.000000
46,0.555477,0.557088,0.000000
47,1.317340,0.356309,0.000000
48,1.652664,0.056982,0.000000
