step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.061963,0.731896,0.000000
2,0.061963,0.665513,0.000000
3,0.914703,0.071603,0.000000
4,1.346406,0.962924,0.000000
5,1.646217,0.214501,0.000000
6,1.889285,0.299292,0.000000
7,1.371300,0.944878,0.000000
8,0.620263,0.992087,0.000000
9,0.048834,0.191409,0.000000
10,0.048834,0.833183,0.000000
11,0.708011,0.070646,0.000000
12,1.706362,0.761078,0.000000
13,1.827310,0.055707,0.000000
14,2.015189,0.003216,0.000000
15,2.502198,0.003216,0.000000
16,1.834267,0.000114,0.000000
17,1.710668,0.980613,0.000000
18,2.435748,0.707301,0.000000
19,2.486063,0.017840,0.000000
20,1.534591,0.017840,0.000000
21,1.168466,0.688523,0.000000
22,0.598428,0.638084,0.000000
23,0.600064,0.695629,0.000000
24,0.583133,0.552001,0.000000
25,1.510520,0.043115,0.000000
26,2.048041,0.333205,0.000000
27,1.069440,0.275555,0.000000
28,1.340992,0.949046,0.000000
29,0.950458,0.949046,0.000000
30,1.920180,0.619321,0.000000
31,1.187842,0.995239,0.000000
32,0.474763,0.194492,0.000000
33,1.217516,0.000387,0.000000
34,1.017050,0.000387,0.000000
35,0.271492,0.485963,0.000000
36,0.037214,0.929648,0.000000
37,0.260260,0.184810,0.000000
38,0.064896,0.361339,0.000000
39,0.118030,0.391023,0.000000
40,0.024290,0.593246,0.000000
41,0.524931,0.645124,0.000000
42,0.861788,0.199827,0.000000
43,0.900617,0.220123,0.000000
44,0.571736,0.958667,0.000000
45,0.592817,0.634549,0.000000
46,0.066836,0.341026,0.000000
47,0.578633,0.057547,0.000000
48,0.215832,0.901012,0.000000
49,0.325208,0.026249,0.000000
50,0.623770,0.534157,0.000000
51,0.000000,0.000000,0.000000
1,0.147473,0.000000,0.000000
2,1.041141,0.811697,0.000000
3,1.870064,0.065087,0.000000
4,0.970319,0.065087,0.000000
5,1.715768,0.886915,0.000000
6,1.634417,0.144518,0.000000
7,2.520004,0.726758,0.000000
8,2.104917,0.249713,0.000000
9,2.377545,0.887409,0.000000
10,2.080968,0.105404,0.000000
11,1.126935,0.024899,0.000000
12,1.277461,0.231500,0.000000
13,0.342593,0.988926,0.000000
14,0.745500,0.725523,0.000000
15,0.833913,0.886149,0.000000
16,1.711939,0.990657,0.000000
17,2.322878,0.258078,0.000000
18,2.198368,0.993611,0.000000
19,1.608408,0.024378,0.000000
20,1.184249,0.024378,0.000000
21,1.424496,0.641626,0.000000
22,1.968539,0.060566,0.000000
23,1.603597,0.022025,0.000000
24,1.968498,0.022025,0.000000
25,1.562046,0.341832,0.000000
26,2.403845,0.005905,0.000000
27,3.235421,0.778210,0.000000
28,3.342942,0.081739,0.000000
29,3.498248,0.342336,0.000000
30,2.812990,0.038572,0.000000
31,3.523887,0.038572,0.000000
32,4.414546,0.019197,0.000000
33,4.472807,0.303043,0.000000
34,4.340335,0.043365,0.000000
35,3.800580,0.003834,0.000000
36,4.561209,0.003834,0.000000
37,4.814304,0.003834,0.000000
38,4.513011,0.003834,0.000000
39,5.211273,0.238680,0.000000
40,4.489189,0.025242,0.000000
41,4.873514,0.401969,0.000000
42,5.017929,0.023001,0.000000
43,4.712168,0.023001,0.000000
44,3.892555,0.617499,0.000000
45,4.281688,0.948588,0.000000
46,3.854801,0.677070,0.000000
47,3.275558,0.055976,0.000000
48,3.803921,0.009626,0.000000
49,4.458695,0.439380,0.000000
50,5.327275,0.052577,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.579005,0.000000
2,0.846021,0.924193,0.000000
3,1.764691,0.929316,0.000000
4,1.677101,0.466325,0.000000
5,1.170885,0.074801,0.000000
6,0.861233,0.107326,0.000000
7,1.607362,0.017579,0.000000
8,1.340975,0.553199,0.000000
9,0.934247,0.029205,0.000000
10,0.035965,0.154872,0.000000
11,0.691972,0.024794,0.000000
12,1.310301,0.051804,0.000000
13,1.778335,0.051804,0.000000
14,0.924702,0.441486,0.000000
15,1.675084,0.284121,0.000000
16,2.028249,0.037142,0.000000
17,1.629813,0.037142,0.000000
18,0.676331,0.037142,0.000000
19,0.267759,0.690708,0.000000
20,0.320678,0.079270,0.000000
21,0.277877,0.194257,0.000000
22,1.049543,0.404449,0.000000
23,0.319038,0.931565,0.000000
24,0.062751,0.194405,0.000000
25,0.011999,0.895669,0.000000
26,0.011999,0.999847,0.000000
27,0.011999,0.999847,0.000000
28,0.011999,0.999847,0.000000
29,0.495392,0.999847,0.000000
30,0.798996,0.704925,0.000000
31,1.668336,0.111376,0.000000
32,1.713938,0.007242,0.000000
33,1.934419,0.007242,0.000000
34,1.257183,0.544230,0.000000
35,1.669390,0.028188,0.000000
36,2.097613,0.233945,0.000000
37,1.300551,0.392487,0.000000
38,0.763494,0.540617,0.000000
39,1.480248,0.085630,0.000000
40,1.392439,0.004167,0.000000
41,0.990253,0.802514,0.000000
42,0.608883,0.513722,0.000000
43,1.603309,0.059694,0.000000
44,1.104574,0.614161,0.000000
45,1.330792,0.830789,0.000000
46,0.620439,0.607290,0.000000
47,1.388582,0.411641,0.000000
48,1.704075,0.049649,0.000000
