step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.070757,0.747299,0.000000
2,0.070757,0.678696,0.000000
3,0.935184,0.078696,0.000000
4,1.357633,0.981238,0.000000
5,1.657444,0.232815,0.000000
6,1.910912,0.313928,0.000000
7,1.356630,0.965758,0.000000
8,0.601504,0.992251,0.000000
9,0.019055,0.183335,0.000000
10,0.019055,0.835660,0.000000
11,0.689302,0.070579,0.000000
12,1.687512,0.752606,0.000000
13,1.808460,0.047235,0.000000
14,2.003579,0.000668,0.000000
15,2.492739,0.000668,0.000000
16,1.829913,0.000668,0.000000
17,1.728902,0.980166,0.000000
18,2.438450,0.710721,0.000000
19,2.499365,0.001648,0.000000
20,1.523430,0.001648,0.000000
21,1.137870,0.653877,0.000000
22,0.576809,0.586611,0.000000
23,0.585854,0.625077,0.000000
24,0.554596,0.471161,0.000000
25,1.451206,0.037611,0.000000
26,1.982479,0.330873,0.000000
27,0.994498,0.262433,0.000000
28,1.268870,0.944729,0.000000
29,0.856833,0.944729,0.000000
30,1.818885,0.615620,0.000000
31,1.082360,0.991739,0.000000
32,0.354929,0.178701,0.000000
33,1.081733,0.044765,0.000000
34,0.887829,0.044765,0.000000
35,0.140148,0.516338,0.000000
36,0.023010,0.960024,0.000000
37,0.248227,0.203559,0.000000
38,0.053780,0.390194,0.000000
39,0.094201,0.399536,0.000000
40,0.003079,0.590110,0.000000
41,0.496869,0.655431,0.000000
42,0.841963,0.213397,0.000000
43,0.861102,0.229297,0.000000
44,0.551726,0.948815,0.000000
45,0.591481,0.623565,0.000000
46,0.060286,0.307597,0.000000
47,0.596758,0.024981,0.000000
48,0.217830,0.855919,0.000000
49,0.310840,0.001131,0.000000
50,0.620959,0.509364,0.000000
51,0.000000,0.000000,0.000000
1,0.122446,0.000000,0.000000
2,1.019511,0.798521,0.000000
3,1.863424,0.045881,0.000000
4,0.944165,0.045881,0.000000
5,1.696538,0.848912,0.000000
6,1.595096,0.127571,0.000000
7,2.493240,0.715621,0.000000
8,2.084658,0.221194,0.000000
9,2.362297,0.859579,0.000000
10,2.069677,0.057686,0.000000
11,1.088034,0.057686,0.000000
12,1.238559,0.264287,0.000000
13,0.303691,0.945971,0.000000
14,0.706598,0.682567,0.000000
