step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.687126,0.000000,0.000000
2,0.551066,0.599192,0.000000
3,0.889643,0.045509,0.000000
4,0.854066,0.331848,0.000000
5,0.859670,0.002311,0.000000
6,0.994053,0.002311,0.000000
7,0.837632,0.002311,0.000000
8,0.759209,0.153114,0.000000
9,0.120039,0.823207,0.000000
10,0.266507,0.210421,0.000000
11,0.445534,0.054094,0.000000
12,1.444366,0.018595,0.000000
13,2.364720,0.018595,0.000000
14,1.925041,0.838622,0.000000
15,1.796138,0.038622,0.000000
16,1.403857,0.038622,0.000000
17,2.339200,0.673131,0.000000
18,1.944609,0.755546,0.000000
19,1.382197,0.955309,0.000000
20,0.513804,0.730319,0.000000
21,0.542367,0.967333,0.000000
22,0.986446,0.967333,0.000000
23,0.692789,0.992249,0.000000
24,0.326469,0.992249,0.000000
25,0.115230,0.870325,0.000000
26,1.098231,0.743813,0.000000
27,1.304596,0.965221,0.000000
28,2.162512,0.965221,0.000000
29,2.595338,0.965221,0.000000
30,2.550404,0.088519,0.000000
31,3.474474,0.036929,0.000000
32,4.097821,0.568061,0.000000
33,4.480473,0.706556,0.000000
34,5.397604,0.047688,0.000000
35,6.128990,0.008618,0.000000
36,5.761238,0.004302,0.000000
37,5.290427,0.004302,0.000000
38,6.200507,0.390178,0.000000
39,5.396882,0.046013,0.000000
40,6.087874,0.719764,0.000000
41,5.240449,0.931890,0.000000
42,5.033605,0.083707,0.000000
43,5.825626,0.870141,0.000000
44,6.703633,1.252177,0.000000
45,7.019386,2.129603,0.000000
46,6.646011,2.357872,0.000000
47,7.010154,2.970931,0.000000
48,7.575336,2.355706,0.000000
49,6.591853,2.949619,0.000000
50,6.318098,2.998749,0.000000
51,0.000000,0.000000,0.000000
1,0.287938,0.433423,0.000000
2,0.893106,0.745562,0.000000
3,0.078646,0.978435,0.000000
4,0.078646,0.071945,0.000000
5,0.201045,0.071945,0.000000
6,0.001237,0.843163,0.000000
7,0.001237,0.942956,0.000000
8,0.001237,0.739120,0.000000
9,0.001237,0.350312,0.000000
10,0.001237,0.927363,0.000000
11,0.001237,0.268795,0.000000
12,0.001237,0.964614,0.000000
13,0.533926,0.333731,0.000000
14,0.950245,0.834672,0.000000
15,0.602047,0.033644,0.000000
16,0.781369,0.002062,0.000000
17,1.471413,0.002062,0.000000
18,2.300784,0.002062,0.000000
19,1.716428,0.002062,0.000000
20,2.110197,0.002062,0.000000
21,1.988624,0.848745,0.000000
22,2.608591,0.970887,0.000000
23,2.840899,0.640180,0.000000
24,2.184991,0.981767,0.000000
25,2.972359,0.094387,0.000000
26,3.390724,0.155535,0.000000
27,3.937954,0.037439,0.000000
28,4.214023,0.037439,0.000000
29,3.870274,0.037439,0.000000
30,4.793731,0.006950,0.000000
31,5.416910,0.006950,0.000000
32,4.523698,0.006950,0.000000
33,4.340662,0.656474,0.000000
34,5.176506,0.597674,0.000000
35,4.966647,0.853634,0.000000
36,5.452988,0.999070,0.000000
37,6.272325,1.190242,0.000000
38,5.609630,0.561997,0.000000
39,4.841870,0.029848,0.000000
40,5.643695,0.011427,0.000000
41,6.108665,0.001154,0.000000
42,6.575901,0.846969,0.000000
43,7.045916,0.659782,0.000000
44,6.673790,0.022446,0.000000
45,7.435708,0.395483,0.000000
46,7.193774,0.440576,0.000000
47,6.539479,0.136227,0.000000
48,6.881079,0.248533,0.000000
49,6.398559,0.807260,0.000000
50,6.666721,1.692512,0.000000
51,0.000000,0.000000,0.000000
1,0.175775,0.405642,0.000000
2,0.645674,0.992855,0.000000
3,0.634159,0.761879,0.000000
4,0.107225,0.292835,0.000000
5,0.022383,0.112588,0.000000
6,0.022383,0.250924,0.000000
7,1.022383,0.929743,0.000000
8,1.588729,0.929743,0.000000
9,1.908913,0.991424,0.000000
10,2.376851,0.991424,0.000000
11,2.684953,0.991424,0.000000
12,3.627584,0.562620,0.000000
13,4.153472,0.190756,0.000000
14,3.665540,0.312098,0.000000
15,3.003700,0.888405,0.000000
16,2.818223,0.985272,0.000000
17,1.919416,0.523469,0.000000
18,1.913629,0.003420,0.000000
19,1.201413,0.003420,0.000000
20,1.991138,0.003420,0.000000
21,1.396571,0.340481,0.000000
22,1.463356,0.001430,0.000000
23,2.126439,0.901430,0.000000
24,1.879076,0.206235,0.000000
25,2.457420,0.980084,0.000000
26,3.018206,0.191898,0.000000
27,2.941355,0.448103,0.000000
28,2.622467,0.996609,0.000000
29,3.009725,0.192364,0.000000
30,2.118804,0.869920,0.000000
31,2.036897,0.893233,0.000000
32,2.973336,0.991834,0.000000
33,2.730455,0.991834,0.000000
34,2.095577,0.490958,0.000000
35,3.052243,0.005506,0.000000
36,3.131495,0.005506,0.000000
37,3.931354,0.000371,0.000000
38,3.828602,0.882682,0.000000
39,3.537450,0.973851,0.000000
40,3.958235,0.192775,0.000000
41,4.435874,0.048692,0.000000
42,3.580127,0.074028,0.000000
43,4.116726,0.840365,0.000000
44,3.547029,0.996290,0.000000
45,4.287563,0.642862,0.000000
46,3.384678,0.986996,0.000000
47,3.522243,0.799688,0.000000
48,4.017928,0.676228,0.000000
49,3.617876,0.033963,0.000000
50,3.964087,0.016374,0.000000
51,0.000000,0.000000,0.000000
1,0.106732,0.610777,0.000000
2,0.402070,0.976684,0.000000
3,1.103201,0.976684,0.000000
4,0.973397,0.367567,0.000000
5,0.527146,0.929169,0.000000
6,0.025247,0.984816,0.000000
7,0.278434,0.984816,0.000000
8,0.245142,0.984816,0.000000
9,0.920116,0.640875,0.000000
10,1.112010,0.978253,0.000000
11,2.083199,0.266765,0.000000
12,2.990488,0.935773,0.000000
13,2.749419,0.991294,0.000000
14,1.799790,0.991294,0.000000
15,2.754083,0.879294,0.000000
16,2.723211,0.965743,0.000000
17,3.013135,0.163302,0.000000
18,3.660899,0.036742,0.000000
19,2.942202,0.189261,0.000000
20,3.030875,0.691403,0.000000
21,2.833032,0.299370,0.000000
22,3.033850,0.980795,0.000000
23,2.684204,0.992171,0.000000
24,2.483285,0.992171,0.000000
25,2.638310,0.662179,0.000000
26,2.824190,0.163881,0.000000
27,2.095980,0.026521,0.000000
28,2.847665,0.326441,0.000000
29,2.220876,0.974557,0.000000
30,3.150909,0.974557,0.000000
31,3.048678,0.974557,0.000000
32,2.245917,0.932404,0.000000
33,2.317472,0.932404,0.000000
34,1.345438,0.327666,0.000000
35,0.932195,0.061380,0.000000
36,0.953347,0.275640,0.000000
37,0.848646,0.035625,0.000000
38,0.347040,0.001734,0.000000
39,0.351347,0.001734,0.000000
40,0.006900,0.288401,0.000000
41,0.264436,0.476119,0.000000
42,1.015151,0.939606,0.000000
43,1.652245,0.996098,0.000000
44,1.429412,0.670591,0.000000
45,2.243880,0.929642,0.000000
46,2.618549,0.976995,0.000000
47,2.401972,0.373032,0.000000
48,2.055403,0.031950,0.000000
49,2.106210,0.031950,0.000000
50,2.183568,0.712151,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.818102,0.000000
2,0.010193,0.045916,0.000000
3,0.010193,0.707355,0.000000
4,0.010193,0.136737,0.000000
5,0.010193,0.039621,0.000000
6,0.010193,0.475618,0.000000
7,0.572024,0.947230,0.000000
8,0.770153,0.044266,0.000000
9,0.718770,0.009712,0.000000
10,0.178003,0.009712,0.000000
11,0.007488,0.009712,0.000000
12,0.950773,0.898660,0.000000
13,1.850142,0.988903,0.000000
14,2.671024,0.318134,0.000000
15,2.752138,0.026356,0.000000
16,1.883237,0.026356,0.000000
17,2.532732,0.026356,0.000000
18,2.585490,0.346984,0.000000
19,2.159853,0.050438,0.000000
20,1.553393,0.372225,0.000000
21,1.603185,0.591532,0.000000
22,2.045949,0.026857,0.000000
23,1.436265,0.055081,0.000000
24,1.674163,0.426837,0.000000
25,1.715532,0.038498,0.000000
26,0.734594,0.009014,0.000000
27,0.031975,0.009014,0.000000
28,0.031975,0.972383,0.000000
29,0.004502,0.972383,0.000000
30,0.004502,0.116235,0.000000
31,0.004502,0.210264,0.000000
32,0.246659,0.924750,0.000000
33,0.006188,0.962472,0.000000
34,0.006188,0.246580,0.000000
35,0.006188,0.862735,0.000000
36,0.044992,0.856492,0.000000
37,0.304616,0.344400,0.000000
38,0.057693,0.934842,0.000000
39,0.722840,0.011112,0.000000
40,0.035667,0.011112,0.000000
41,0.748314,0.011112,0.000000
42,0.336824,0.541792,0.000000
43,0.363961,0.019246,0.000000
44,0.262191,0.697688,0.000000
45,0.023132,0.871029,0.000000
46,1.019215,0.735155,0.000000
47,1.366082,0.998744,0.000000
48,1.493703,0.375723,0.000000
49,1.326788,0.978715,0.000000
50,1.309534,0.174878,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.440822,0.000000,0.000000
5,0.655716,0.000000,0.000000
6,0.527670,0.343402,0.000000
7,0.780410,0.198549,0.000000
8,1.602429,0.297531,0.000000
9,2.042783,0.825020,0.000000
10,1.700591,0.985846,0.000000
11,2.273689,0.985846,0.000000
12,1.670687,0.985846,0.000000
13,1.008846,0.985846,0.000000
14,1.813125,0.993675,0.000000
15,2.610253,0.247021,0.000000
16,2.113730,0.520399,0.000000
17,3.085582,0.072120,0.000000
18,3.264145,0.228496,0.000000
19,2.356892,0.972565,0.000000
20,1.668356,0.945032,0.000000
21,2.320827,0.945032,0.000000
22,3.112897,0.985661,0.000000
23,3.767100,0.014269,0.000000
24,3.882971,0.739921,0.000000
25,3.123272,0.964719,0.000000
26,3.710734,0.991243,0.000000
27,3.216647,0.869127,0.000000
28,2.259200,0.944099,0.000000
29,2.889154,0.782580,0.000000
30,2.140065,0.077966,0.000000
31,2.817018,0.249134,0.000000
32,2.236322,0.158838,0.000000
33,1.243136,0.071260,0.000000
34,1.073326,0.821810,0.000000
35,1.992973,0.969437,0.000000
36,1.233178,0.969437,0.000000
37,2.023737,0.994196,0.000000
38,1.614892,0.994196,0.000000
39,2.503613,0.173111,0.000000
40,1.775347,0.540528,0.000000
41,2.491940,0.946398,0.000000
42,2.746866,0.536580,0.000000
43,2.491257,0.051893,0.000000
44,1.517045,0.051893,0.000000
45,2.442352,0.862046,0.000000
46,2.014942,0.284215,0.000000
47,1.019340,0.012614,0.000000
48,0.920631,0.012614,0.000000
49,0.080507,0.784998,0.000000
50,0.526920,0.344602,0.000000
51,0.000000,0.000000,0.000000
1,0.121704,0.000000,0.000000
2,0.028266,0.315045,0.000000
3,0.028266,0.879921,0.000000
4,0.028266,0.956324,0.000000
5,0.327747,0.956324,0.000000
6,0.734122,0.247277,0.000000
7,1.376976,0.137750,0.000000
