step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.050630,0.760215,0.000000
2,0.050630,0.710031,0.000000
3,0.904130,0.010031,0.000000
4,1.340754,0.906706,0.000000
5,1.644492,0.149130,0.000000
6,1.896705,0.230154,0.000000
7,1.358730,0.982419,0.000000
8,0.602074,0.999205,0.000000
9,0.025077,0.202611,0.000000
10,0.025077,0.845843,0.000000
11,0.685993,0.004061,0.000000
12,1.682724,0.701228,0.000000
13,1.812872,0.039525,0.000000
14,1.994802,0.005203,0.000000
15,2.475168,0.005203,0.000000
16,1.827020,0.000912,0.000000
17,1.703421,0.981410,0.000000
18,2.428500,0.708098,0.000000
19,2.488848,0.015408,0.000000
20,1.509725,0.015408,0.000000
21,1.116239,0.700624,0.000000
22,0.555760,0.637291,0.000000
23,0.559005,0.686055,0.000000
24,0.520358,0.524240,0.000000
25,1.463003,0.002807,0.000000
26,1.996600,0.273603,0.000000
27,1.018731,0.225862,0.000000
28,1.283376,0.966075,0.000000
29,0.872792,0.966075,0.000000
30,1.833549,0.636158,0.000000
31,1.097540,0.961545,0.000000
32,0.391313,0.152627,0.000000
33,1.168797,0.024226,0.000000
34,0.976492,0.024226,0.000000
35,0.212927,0.483098,0.000000
36,0.036823,0.929169,0.000000
37,0.271853,0.186575,0.000000
38,0.080064,0.364304,0.000000
39,0.142078,0.373236,0.000000
40,0.046484,0.569192,0.000000
41,0.533803,0.649959,0.000000
42,0.866260,0.209818,0.000000
43,0.900103,0.191274,0.000000
44,0.579909,0.915517,0.000000
45,0.617303,0.602080,0.000000
46,0.008201,0.281887,0.000000
47,0.538825,0.002290,0.000000
48,0.159856,0.823917,0.000000
49,0.268454,0.058688,0.000000
50,0.596189,0.583070,0.000000
51,0.000000,0.000000,0.000000
1,0.114743,0.000000,0.000000
2,0.990751,0.801651,0.000000
3,1.844487,0.046081,0.000000
4,0.961928,0.046081,0.000000
5,1.713187,0.860299,0.000000
6,1.612462,0.109510,0.000000
7,2.507408,0.677320,0.000000
8,2.095744,0.181772,0.000000
9,2.368434,0.812060,0.000000
10,2.093135,0.009054,0.000000
11,1.148407,0.009054,0.000000
12,1.282599,0.229902,0.000000
13,0.334646,0.926881,0.000000
14,0.756105,0.650024,0.000000
15,0.839140,0.803509,0.000000
16,1.716434,0.997062,0.000000
17,2.325969,0.268617,0.000000
18,2.211716,0.947697,0.000000
19,1.622870,0.064555,0.000000
20,1.184534,0.002415,0.000000
21,1.423400,0.609318,0.000000
22,1.957095,0.026775,0.000000
23,1.595354,0.026775,0.000000
24,1.962413,0.026775,0.000000
25,1.530321,0.353802,0.000000
26,2.368783,0.012302,0.000000
27,3.199141,0.770008,0.000000
28,3.316154,0.064059,0.000000
29,3.479064,0.321978,0.000000
30,2.792638,0.011986,0.000000
31,3.516517,0.011986,0.000000
32,4.399894,0.011986,0.000000
33,4.463635,0.303131,0.000000
34,4.337839,0.044288,0.000000
35,3.795462,0.002179,0.000000
36,4.555756,0.002179,0.000000
37,4.803593,0.002179,0.000000
38,4.522482,0.002179,0.000000
39,5.209421,0.218077,0.000000
40,4.485238,0.007322,0.000000
41,4.891154,0.370891,0.000000
