step,x,y,reward
0,5.000000,5.000000,0.000000
1,6.000000,5.993827,0.000000
2,6.894995,6.982972,0.000000
3,7.894995,6.982972,0.000000
4,7.994995,6.982972,0.000000
5,7.994995,6.982972,0.000000
6,7.994995,6.982972,0.000000
7,7.994995,6.982972,0.000000
8,7.994995,6.982972,0.000000
9,7.994995,6.982972,0.000000
10,7.994995,6.982972,0.000000
11,7.994995,6.982972,0.000000
12,7.994995,6.982972,0.000000
13,7.994995,6.982972,0.000000
14,7.994995,6.982972,0.000000
15,7.994995,6.982972,0.000000
16,7.994995,6.982972,0.000000
17,7.994995,6.982972,0.000000
18,7.994995,6.982972,0.000000
19,7.994995,6.982972,0.000000
20,7.994995,6.982972,0.000000
21,7.994995,6.982972,0.000000
22,7.994995,6.982972,0.000000
23,7.994995,6.982972,0.000000
24,7.994995,6.982972,0.000000
25,7.994995,6.982972,0.000000
26,7.994995,6.982972,0.000000
27,7.994995,6.982972,0.000000
28,7.994995,6.982972,0.000000
29,7.994995,6.982972,0.000000
30,7.994995,6.982972,0.000000
31,7.994995,6.982972,0.000000
32,7.994995,6.982972,0.000000
33,7.994995,6.982972,0.000000
34,7.994995,6.982972,0.000000
35,7.994995,6.982972,0.000000
36,7.994995,6.982972,0.000000
37,7.994995,6.982972,0.000000
38,7.994995,6.982972,0.000000
39,7.994995,6.982972,0.000000
40,7.994995,6.982972,0.000000
41,7.994995,6.982972,0.000000
42,7.994995,6.982972,0.000000
43,7.994995,6.982972,0.000000
44,7.994995,6.982972,0.000000
45,7.994995,6.982972,0.000000
46,7.994995,6.982972,0.000000
47,7.994995,6.982972,0.000000
48,7.994995,6.982972,0.000000
49,7.994995,6.982972,0.000000
50,7.994995,6.982972,0.000000
51,7.994995,6.982972,0.000000
52,7.994995,6.982972,0.000000
53,7.994995,6.982972,0.000000
54,7.994995,6.982972,0.000000
55,7.994995,6.982972,0.000000
56,7.994995,6.982972,0.000000
57,7.994995,6.982972,0.000000
58,7.994995,6.982972,0.000000
59,7.994995,6.982972,0.000000
60,7.994995,6.982972,0.000000
61,7.994995,6.982972,0.000000
62,7.994995,6.982972,0.000000
63,7.994995,6.982972,0.000000
64,7.994995,6.982972,0.000000
65,7.994995,6.982972,0.000000
66,7.994995,6.982972,0.000000
67,7.994995,6.982972,0.000000
68,7.994995,6.982972,0.000000
69,7.994995,6.982972,0.000000
70,7.994995,6.982972,0.000000
71,7.994995,6.982972,0.000000
72,7.994995,6.982972,0.000000
73,7.994995,6.982972,0.000000
74,7.994995,6.982972,0.000000
75,7.994995,6.982972,0.000000
76,7.994995,6.982972,0.000000
77,7.994995,6.982972,0.000000
78,7.994995,6.982972,0.000000
79,7.994995,6.982972,0.000000
80,7.994995,6.982972,0.000000
81,7.994995,6.982972,0.000000
82,7.994995,6.982972,0.000000
83,7.994995,6.982972,0.000000
84,7.994995,6.982972,0.000000
85,7.994995,6.982972,0.000000
86,7.994995,6.982972,0.000000
87,7.994995,6.982972,0.000000
88,7.994995,6.982972,0.000000
89,7.994995,6.982972,0.000000
90,7.994995,6.982972,0.000000
91,7.994995,6.982972,0.000000
92,7.994995,6.982972,0.000000
93,7.994995,6.982972,0.000000
94,7.994995,6.982972,0.000000
95,7.994995,6.982972,0.000000
96,7.994995,6.982972,0.000000
97,7.994995,6.982972,0.000000
98,7.994995,6.982972,0.000000
99,7.994995,6.982972,0.000000
100,7.994995,6.982972,0.000000
101,5.000000,5.000000,0.000000
1,6.000000,6.000000,0.000000
2,6.893446,6.997840,0.000000
3,7.893446,6.997840,0.000000
4,7.992783,6.997840,0.000000
5,7.992783,6.997840,0.000000
6,7.992783,6.997840,0.000000
7,7.992783,6.997840,0.000000
8,7.992783,6.997840,0.000000
9,7.992783,6.997840,0.000000
10,7.992783,6.997840,0.000000
11,7.992783,6.997840,0.000000
12,7.992783,6.997840,0.000000
13,7.992783,6.997840,0.000000
14,7.992783,6.997840,0.000000
15,7.992783,6.997840,0.000000
16,7.992783,6.997840,0.000000
17,7.992783,6.997840,0.000000
18,7.992783,6.997840,0.000000
19,7.992783,6.997840,0.000000
20,7.992783,6.997840,0.000000
21,7.992783,6.997840,0.000000
22,7.992783,6.997840,0.000000
23,7.992783,6.997840,0.000000
24,7.992783,6.997840,0.000000
25,7.992783,6.997840,0.000000
26,7.992783,6.997840,0.000000
27,7.992783,6.997840,0.000000
28,7.992783,6.997840,0.000000
29,7.992783,6.997840,0.000000
30,7.992783,6.997840,0.000000
31,7.992783,6.997840,0.000000
32,7.992783,6.997840,0.000000
33,7.992783,6.997840,0.000000
34,7.992783,6.997840,0.000000
35,7.992783,6.997840,0.000000
36,7.992783,6.997840,0.000000
37,7.992783,6.997840,0.000000
38,7.992783,6.997840,0.000000
39,7.992783,6.997840,0.000000
40,7.992783,6.997840,0.000000
41,7.992783,6.997840,0.000000
42,7.992783,6.997840,0.000000
43,7.992783,6.997840,0.000000
44,7.992783,6.997840,0.000000
45,7.992783,6.997840,0.000000
46,7.992783,6.997840,0.000000
47,7.992783,6.997840,0.000000
48,7.992783,6.997840,0.000000
49,7.992783,6.997840,0.000000
50,7.992783,6.997840,0.000000
51,7.992783,6.997840,0.000000
52,7.992783,6.997840,0.000000
53,7.992783,6.997840,0.000000
54,7.992783,6.997840,0.000000
55,7.992783,6.997840,0.000000
56,7.992783,6.997840,0.000000
57,7.992783,6.997840,0.000000
58,7.992783,6.997840,0.000000
59,7.992783,6.997840,0.000000
60,7.992783,6.997840,0.000000
61,7.992783,6.997840,0.000000
62,7.992783,6.997840,0.000000
63,7.992783,6.997840,0.000000
64,7.992783,6.997840,0.000000
65,7.992783,6.997840,0.000000
66,7.992783,6.997840,0.000000
67,7.992783,6.997840,0.000000
68,7.992783,6.997840,0.000000
69,7.992783,6.997840,0.000000
70,7.992783,6.997840,0.000000
71,7.992783,6.997840,0.000000
72,7.992783,6.997840,0.000000
73,7.992783,6.997840,0.000000
74,7.992783,6.997840,0.000000
75,7.992783,6.997840,0.000000
76,7.992783,6.997840,0.000000
77,7.992783,6.997840,0.000000
78,7.992783,6.997840,0.000000
79,7.992783,6.997840,0.000000
80,7.992783,6.997840,0.000000
81,7.992783,6.997840,0.000000
82,7.992783,6.997840,0.000000
83,7.992783,6.997840,0.000000
84,7.992783,6.997840,0.000000
85,7.992783,6.997840,0.000000
86,7.992783,6.997840,0.000000
87,7.992783,6.997840,0.000000
88,7.992783,6.997840,0.000000
89,7.992783,6.997840,0.000000
90,7.992783,6.997840,0.000000
91,7.992783,6.997840,0.000000
92,7.992783,6.997840,0.000000
93,7.992783,6.997840,0.000000
94,7.992783,6.997840,0.000000
95,7.992783,6.997840,0.000000
96,7.992783,6.997840,0.000000
97,7.992783,6.997840,0.000000
98,7.992783,6.997840,0.000000
99,7.992783,6.997840,0.000000
100,7.992783,6.997840,0.000000
101,5.000000,5.000000,0.000000
1,5.980073,6.000000,0.000000
2,6.880073,7.000000,0.000000
3,7.877682,7.000000,0.000000
4,7.977682,7.000000,0.000000
5,7.977682,7.000000,0.000000
6,7.977682,7.000000,0.000000
7,7.977682,7.000000,0.000000
8,7.977682,7.000000,0.000000
9,7.977682,7.000000,0.000000
10,7.977682,7.000000,0.000000
11,7.977682,7.000000,0.000000
12,7.977682,7.000000,0.000000
13,7.977682,7.000000,0.000000
14,7.977682,7.000000,0.000000
15,7.977682,7.000000,0.000000
16,7.977682,7.000000,0.000000
17,7.977682,7.000000,0.000000
18,7.977682,7.000000,0.000000
19,7.977682,7.000000,0.000000
20,7.977682,7.000000,0.000000
21,7.977682,7.000000,0.000000
22,7.977682,7.000000,0.000000
23,7.977682,7.000000,0.000000
24,7.977682,7.000000,0.000000
25,7.977682,7.000000,0.000000
26,7.977682,7.000000,0.000000
27,7.977682,7.000000,0.000000
28,7.977682,7.000000,0.000000
29,7.977682,7.000000,0.000000
30,7.977682,7.000000,0.000000
31,7.977682,7.000000,0.000000
32,7.977682,7.000000,0.000000
33,7.977682,7.000000,0.000000
34,7.977682,7.000000,0.000000
35,7.977682,7.000000,0.000000
36,7.977682,7.000000,0.000000
37,7.977682,7.000000,0.000000
38,7.977682,7.000000,0.000000
39,7.977682,7.000000,0.000000
40,7.977682,7.000000,0.000000
41,7.977682,7.000000,0.000000
42,7.977682,7.000000,0.000000
43,7.977682,7.000000,0.000000
44,7.977682,7.000000,0.000000
45,7.977682,7.000000,0.000000
46,7.977682,7.000000,0.000000
47,7.977682,7.000000,0.000000
48,7.977682,7.000000,0.000000
49,7.977682,7.000000,0.000000
50,7.977682,7.000000,0.000000
51,7.977682,7.000000,0.000000
52,7.977682,7.000000,0.000000
53,7.977682,7.000000,0.000000
54,7.977682,7.000000,0.000000
55,7.977682,7.000000,0.000000
56,7.977682,7.000000,0.000000
57,7.977682,7.000000,0.000000
58,7.977682,7.000000,0.000000
59,7.977682,7.000000,0.000000
60,7.977682,7.000000,0.000000
61,7.977682,7.000000,0.000000
62,7.977682,7.000000,0.000000
63,7.977682,7.000000,0.000000
64,7.977682,7.000000,0.000000
65,7.977682,7.000000,0.000000
66,7.977682,7.000000,0.000000
67,7.977682,7.000000,0.000000
68,7.977682,7.000000,0.000000
69,7.977682,7.000000,0.000000
70,7.977682,7.000000,0.000000
71,7.977682,7.000000,0.000000
72,7.977682,7.000000,0.000000
73,7.977682,7.000000,0.000000
74,7.977682,7.000000,0.000000
75,7.977682,7.000000,0.000000
76,7.977682,7.000000,0.000000
77,7.977682,7.000000,0.000000
78,7.977682,7.000000,0.000000
79,7.977682,7.000000,0.000000
80,7.977682,7.000000,0.000000
81,7.977682,7.000000,0.000000
82,7.977682,7.000000,0.000000
83,7.977682,7.000000,0.000000
84,7.977682,7.000000,0.000000
85,7.977682,7.000000,0.000000
86,7.977682,7.000000,0.000000
87,7.977682,7.000000,0.000000
88,7.977682,7.000000,0.000000
89,7.977682,7.000000,0.000000
90,7.977682,7.000000,0.000000
91,7.977682,7.000000,0.000000
92,7.977682,7.000000,0.000000
93,7.977682,7.000000,0.000000
94,7.977682,7.000000,0.000000
95,7.977682,7.000000,0.000000
96,7.977682,7.000000,0.000000
97,7.977682,7.000000,0.000000
98,7.977682,7.000000,0.000000
99,7.977682,7.000000,0.000000
100,7.977682,7.000000,0.000000
101,5.000000,5.000000,0.000000
1,6.000000,6.000000,0.000000
2,6.900000,7.000000,0.000000
3,7.895107,7.000000,0.000000
4,7.992913,7.000000,0.000000
5,7.992913,7.000000,0.000000
6,7.992913,7.000000,0.000000
7,7.992913,7.000000,0.000000
8,7.992913,7.000000,0.000000
9,7.992913,7.000000,0.000000
10,7.992913,7.000000,0.000000
11,7.992913,7.000000,0.000000
12,7.992913,7.000000,0.000000
13,7.992913,7.000000,0.000000
14,7.992913,7.000000,0.000000
15,7.992913,7.000000,0.000000
16,7.992913,7.000000,0.000000
17,7.992913,7.000000,0.000000
18,7.992913,7.000000,0.000000
